id,name,phone,email,website,address,city,state,zip,lat,lng,source,google_place_id,association_member,icar_gold_class,associations,lead_score,email_verified,enrichment_needed,notes,created_at
c91826b6-ca15-4d20-b345-003c4210de42,Kirkland Autobody Repair,(425) 822-8030,repairs@kirklandautobody.com,https://www.kirklandautobody.com/,639 9th Ave B,Kirkland,WA,98033,47.681937,-122.194631,"[""google""]",ChIJJ1HkBusSkFQRzsUXx89swwQ,false,false,null,0,false,false,null,2026-02-25 17:31:39.393229+00
fef9d929-e88b-45af-a875-ae0c3eaec65e,Bel-Kirk Body Shop Inc,(425) 823-9303,Belkirk@belkirkbodyshop.com,http://www.belkirkbodyshop.com/,12232 NE 116th St,Kirkland,WA,98034,47.704210,-122.176906,"[""google""]",ChIJHb5Ssn8NkFQR6bZ_F5oCOtE,false,false,null,0,false,false,null,2026-02-25 17:31:39.723128+00
c7c1a695-a924-435b-a820-68f47f63936f,Hinshaw's Auto Body,(253) 833-3366,null,http://www.hinshawsautobody.com/,812 35th St NE,Auburn,WA,98002,47.337903,-122.220237,"[""google""]",ChIJh7vldeRYkFQRm4-VPW5UKVU,false,false,null,0,false,false,null,2026-02-25 17:31:40.710803+00
610efe77-4202-4e4d-92fb-1760ee367053,Olsen Auto Body & Collision,(360) 733-0463,null,http://olsenautobody.com/,1919 Humboldt St,Bellingham,WA,98225,48.755617,-122.468344,"[""google""]",ChIJ9xg0yZCjhVQRrs0Easqq0iI,false,false,null,0,false,false,null,2026-02-25 17:31:45.294762+00
f625bd85-c4c6-4ab1-a37e-6de9e3123faa,Top Tier Collision,(425) 877-0236,toptiercollision@gmail.com,http://www.toptiercollision.com/,4114 Hoyt Ave,Everett,WA,98203,47.962741,-122.209608,"[""google""]",ChIJYW1C-EMBkFQRh82pI0XjgI4,false,false,null,0,false,false,null,2026-02-25 17:31:42.057327+00
867a622f-94aa-4d0b-a7ac-22d8e3ac4e14,Crash Champions Collision Repair Seattle,(206) 725-2900,null,https://crashchampions.com/locations/crash-champions-seattle,3711 Rainier Ave S,Seattle,WA,98144,47.570095,-122.292130,"[""google""]",ChIJc8fbvm9qkFQRKYRWRg4PG3Y,false,false,null,0,false,false,null,2026-02-25 17:31:42.380941+00
c6aaa169-d608-4ed4-9672-2607a578bb4a,Greenwood Collision Auto Body Shop of Seattle,(206) 363-8825,null,https://greenwoodautobody.com/,14323 Greenwood Ave N,Seattle,WA,98133,47.732970,-122.355825,"[""google""]",ChIJAaEwMikRkFQRcRcJ_YtOHK4,false,false,null,0,false,false,null,2026-02-25 17:31:38.724891+00
685c3c9d-081b-49da-9bc8-08a2637a1c81,Knockout Auto Repair,(206) 932-9177,null,null,3600 SW Alaska St,Seattle,WA,98126,47.561201,-122.377690,"[""google""]",ChIJk0D5_VVAkFQR-Kt3hErVDpY,false,false,null,0,false,true,null,2026-02-25 17:31:43.396553+00
7b5a3a51-9098-426e-bbe9-f37f9df92dcb,Cook's Auto Rebuild,(206) 525-7377,null,https://cooksauto.com/,1722 NE 85th St,Seattle,WA,98115,47.690464,-122.308426,"[""google""]",ChIJTyWtXPQTkFQROpCCFdRc5Kc,false,false,null,0,false,false,null,2026-02-25 17:31:37.696071+00
fec2270b-6783-4d46-b76b-7a5d51fee78d,Fleury's Body Shop,(206) 789-6930,null,https://fleuryscollision.com/,1484 NW 90th St,Seattle,WA,98117,47.694388,-122.376475,"[""google""]",ChIJgWV6TJsWkFQRtNhwyeyMXlg,false,false,null,0,false,false,null,2026-02-25 17:31:40.05757+00
77f50675-a8fc-43b7-b93e-2ac3596e7503,Hernandez Auto Body Shop LLC,(206) 767-8297,null,http://hernandezautobody.com/,9052 Delridge Wy SW,Seattle,WA,98106,47.521774,-122.358800,"[""google""]",ChIJnwhBJAdBkFQR_I2AW_PYq0w,false,false,null,0,false,false,null,2026-02-25 17:31:37.342761+00
6172e1d5-2c6a-452b-b397-d560dd035dfe,Special Interest Auto Body,(425) 353-2381,null,http://www.siabinc.com/,6410 Evergreen Wy,Everett,WA,98203,47.939398,-122.218793,"[""google""]",ChIJ_XwkwOsAkFQRuKRGFe80C68,false,false,null,0,false,false,null,2026-02-25 17:31:41.036049+00
5caaabd3-dad4-43e2-98f5-5cb7769d7283,John's Collision & Auto Body,(425) 771-8911,iloveautoshop@gmail.com,https://iloveautoshop.wixsite.com/johnsautobody,20500 Hwy 99,Lynnwood,WA,98036,47.813187,-122.322560,"[""google""]",ChIJ2a1rC7UakFQRxsxhrKoPE8g,false,false,null,0,false,false,null,2026-02-25 17:31:43.061866+00
446e7bf9-3fb6-4d4d-8e70-7e873d209238,Auto Perfect US,(425) 281-0155,null,http://autoperfectus.com/,18727 E Valley Hwy Suite B,Kent,WA,98032,47.434501,-122.227625,"[""google""]",ChIJ1RZm5yxdkFQRd4BimtpUMr4,false,false,null,0,false,false,null,2026-02-25 17:31:38.385604+00
cd4a8391-e567-4a80-a247-31ef9388db1b,101 Auto Body Shop,(206) 525-5778,null,http://www.hermannsauto.com/,10059 Aurora Ave N,Seattle,WA,98133,47.702025,-122.345066,"[""google""]",ChIJk_Sd4X4XkFQRPYBoEIuKoU4,false,false,null,0,false,false,null,2026-02-25 17:31:38.046236+00
8c6c9d57-37e5-4004-8f53-e19dde238f8f,Crash Champions Collision Repair West Seattle,(206) 935-2120,null,https://crashchampions.com/locations/crash-champions-west-seattle,4501 38th Ave SW,Seattle,WA,98126,47.562714,-122.380419,"[""google""]",ChIJB40qgvhAkFQRu6yqB_7V1GI,false,false,null,0,false,false,null,2026-02-25 17:31:41.363156+00
2ff1a281-7c92-41ee-8de3-a59b97a4989c,Harold's Auto Rebuild,(425) 226-5000,null,http://harolds-auto-rebuild.jany.io/,124 Rainier Ave S,Renton,WA,98057,47.482221,-122.216872,"[""google""]",ChIJm4IUX65CkFQRZhSZPQcicpA,false,false,null,0,false,false,null,2026-02-25 17:31:40.366788+00
